Aurthor name,Tags
Albert Einstein,change
J.K. Rowling,abilities
Albert Einstein,inspirational
Jane Austen,aliteracy
Marilyn Monroe,be-yourself
Albert Einstein,adulthood
André Gide,life
Thomas A. Edison,edison
Eleanor Roosevelt,misattributed-eleanor-roosevelt
Steve Martin,humor
